Card#,Version,Qty,Needed,Cardback,Discussion,@background,Title,Description,@cake,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,score,@symbol1,@symbol2,@symbol3,@symbol4,@symbol5
11,1,1,1,reward,,reward_bg.png,Chocolate-orange truffle,Intense dark chocolate infused with orange oil,patisserie_chocolate-orange_truffle.png,Chocolate,Chocolate,Chocolate,,,2,symbol_Chocolate.png,symbol_Chocolate.png,symbol_Chocolate.png,,
12,1,1,1,reward,,reward_bg.png,Chocolate-cherry tart,Rich chocolate ganache with bright cherry,patisserie_chocolate-cherry_tart.png,Chocolate,Chocolate,strawberry,strawberry,,4,symbol_Chocolate.png,symbol_Chocolate.png,symbol_strawberry.png,symbol_strawberry.png,
13,1,1,1,reward,,reward_bg.png,Chocolate-mint truffle,Silky chocolate ganache with cool mint,patisserie_chocolate-mint_truffle.png,Chocolate,Chocolate,almond,,,2,symbol_Chocolate.png,symbol_Chocolate.png,symbol_almond.png,,
14,1,1,1,reward,,reward_bg.png,Chocolate-hazelnut praliné,Roasted hazelnut praline with nutty crunch,patisserie_chocolate-hazelnut_praliné.png,Chocolate,Chocolate,almond,almond,,4,symbol_Chocolate.png,symbol_Chocolate.png,symbol_almond.png,symbol_almond.png,
15,1,1,1,reward,,reward_bg.png,Black Forest gateau,Dark chocolate sponge with bright cherry jam,patisserie_black_forest_gateau.png,Chocolate,Chocolate,strawberry,strawberry,,4,symbol_Chocolate.png,symbol_Chocolate.png,symbol_strawberry.png,symbol_strawberry.png,
16,1,1,1,reward,,reward_bg.png,Sachertorte,Dense chocolate cake with silky apricot center,patisserie_sachertorte.png,Chocolate,Chocolate,strawberry,,,2,symbol_Chocolate.png,symbol_Chocolate.png,symbol_strawberry.png,,
17,1,1,1,reward,,reward_bg.png,Pistachio chocolate religieuse,Nutty pistachio with rich chocolate coating,patisserie_pistachio_chocolate_religieuse.png,Chocolate,Chocolate,almond,almond,,4,symbol_Chocolate.png,symbol_Chocolate.png,symbol_almond.png,symbol_almond.png,
18,1,1,1,reward,,reward_bg.png,Chocolate-blueberry tartelette,Rich chocolate ganache with tart blueberry,patisserie_chocolate-blueberry_tartelette.png,Chocolate,Chocolate,strawberry,strawberry,,4,symbol_Chocolate.png,symbol_Chocolate.png,symbol_strawberry.png,symbol_strawberry.png,
19,1,1,1,reward,,reward_bg.png,Opéra cake,"Intense layered chocolate, classic elegance",patisserie_opéra_cake.png,Chocolate,Chocolate,Chocolate,,,2,symbol_Chocolate.png,symbol_Chocolate.png,symbol_Chocolate.png,,
20,1,1,1,reward,,reward_bg.png,Florentine,Chocolate with candied almond and citrus brittle,patisserie_florentine.png,Chocolate,Chocolate,almond,almond,,4,symbol_Chocolate.png,symbol_Chocolate.png,symbol_almond.png,symbol_almond.png,
21,1,1,1,reward,,reward_bg.png,Crème brûlée,Silky custard with satisfying caramel crack top,patisserie_crème_brûlée.png,Caramel,Caramel,Caramel,,,2,symbol_Caramel.png,symbol_Caramel.png,symbol_Caramel.png,,
22,1,1,1,reward,,reward_bg.png,Canelé,Caramelized cinnamon sugar with spiced shell,patisserie_canelé.png,Caramel,Caramel,Caramel,,,2,symbol_Caramel.png,symbol_Caramel.png,symbol_Caramel.png,,
23,1,1,1,reward,,reward_bg.png,Tarte Tatin,Caramelized apples with warm buttery crust,patisserie_tarte_tatin.png,Caramel,Caramel,strawberry,,,2,symbol_Caramel.png,symbol_Caramel.png,symbol_strawberry.png,,
24,1,1,1,reward,,reward_bg.png,Crème caramel,Smooth silky caramel flan with delicate custard,patisserie_crème_caramel.png,Caramel,Caramel,Caramel,,,2,symbol_Caramel.png,symbol_Caramel.png,symbol_Caramel.png,,
25,1,1,1,reward,,reward_bg.png,Salted caramel tart,Salty-sweet caramel with bright lemon salt,patisserie_salted_caramel_tart.png,Caramel,Caramel,Caramel,lemon,,4,symbol_Caramel.png,symbol_Caramel.png,symbol_Caramel.png,symbol_lemon.png,
26,1,1,1,reward,,reward_bg.png,Sticky toffee pudding,Toffee-soaked sponge with warm date sauce,patisserie_sticky_toffee_pudding.png,Caramel,Caramel,Caramel,strawberry,,4,symbol_Caramel.png,symbol_Caramel.png,symbol_Caramel.png,symbol_strawberry.png,
27,1,1,1,reward,,reward_bg.png,Caramel apple charlotte,Soft apple layers with smooth caramel coating,patisserie_caramel_apple_charlotte.png,Caramel,Caramel,strawberry,strawberry,,4,symbol_Caramel.png,symbol_Caramel.png,symbol_strawberry.png,symbol_strawberry.png,
28,1,1,1,reward,,reward_bg.png,Earl Grey & caramel tart,Floral Earl Grey balanced with buttery caramel,patisserie_earl_grey_&_caramel_tart.png,Caramel,Caramel,Caramel,lemon,,4,symbol_Caramel.png,symbol_Caramel.png,symbol_Caramel.png,symbol_lemon.png,
29,1,1,1,reward,,reward_bg.png,Paris-Brest (blueberry praliné),Nutty praline choux with fresh blueberry cream,patisserie_paris-brest_(blueberry_praliné).png,Caramel,Caramel,Chocolate,almond,,5,symbol_Caramel.png,symbol_Caramel.png,symbol_Chocolate.png,symbol_almond.png,
30,1,1,1,reward,,reward_bg.png,Banoffee pie,Toffee and banana layers with smooth cream,patisserie_banoffee_pie.png,Caramel,Caramel,Caramel,strawberry,,4,symbol_Caramel.png,symbol_Caramel.png,symbol_Caramel.png,symbol_strawberry.png,
31,1,1,1,reward,,reward_bg.png,Strawberry tartlet,Pure fresh strawberry with delicate pastry shell,patisserie_strawberry_tartlet.png,strawberry,strawberry,,,,1,symbol_strawberry.png,symbol_strawberry.png,,,
32,1,1,1,reward,,reward_bg.png,Apple turnover,Spiced apple filling wrapped in crispy pastry,patisserie_apple_turnover.png,strawberry,strawberry,almond,,,2,symbol_strawberry.png,symbol_strawberry.png,symbol_almond.png,,
33,1,1,1,reward,,reward_bg.png,Blueberry mille-feuille,Tart blueberries with silky lemon curd cream,patisserie_blueberry_mille-feuille.png,strawberry,strawberry,lemon,,,2,symbol_strawberry.png,symbol_strawberry.png,symbol_lemon.png,,
34,1,1,1,reward,,reward_bg.png,Plum tart,Juicy plums paired with rich dark chocolate,patisserie_plum_tart.png,strawberry,strawberry,Chocolate,Chocolate,,4,symbol_strawberry.png,symbol_strawberry.png,symbol_Chocolate.png,symbol_Chocolate.png,
35,1,1,1,reward,,reward_bg.png,Fraisier,Fresh strawberry with light sponge and cream,patisserie_fraisier.png,strawberry,strawberry,strawberry,,,2,symbol_strawberry.png,symbol_strawberry.png,symbol_strawberry.png,,
36,1,1,1,reward,,reward_bg.png,Mixed berry pavlova,Mixed berries with crispy caramelized meringue,patisserie_mixed_berry_pavlova.png,strawberry,strawberry,Caramel,Caramel,,4,symbol_strawberry.png,symbol_strawberry.png,symbol_Caramel.png,symbol_Caramel.png,
37,1,1,1,reward,,reward_bg.png,Carrot cake,Spiced carrot with crunchy walnut crumb topping,patisserie_carrot_cake.png,strawberry,strawberry,almond,almond,,4,symbol_strawberry.png,symbol_strawberry.png,symbol_almond.png,symbol_almond.png,
38,1,1,1,reward,,reward_bg.png,Blackcurrant cheesecake,Tart blackcurrant with creamy cheesecake base,patisserie_blackcurrant_cheesecake.png,strawberry,strawberry,lemon,lemon,,4,symbol_strawberry.png,symbol_strawberry.png,symbol_lemon.png,symbol_lemon.png,
39,1,1,1,reward,,reward_bg.png,Charlotte aux fraises,Strawberry with bright citrus cream and sponge,patisserie_charlotte_aux_fraises.png,strawberry,strawberry,lemon,lemon,,4,symbol_strawberry.png,symbol_strawberry.png,symbol_lemon.png,symbol_lemon.png,
40,1,1,1,reward,,reward_bg.png,Autumn fruit crumble,Spiced autumn fruits with crunchy almond crumble,patisserie_autumn_fruit_crumble.png,strawberry,strawberry,strawberry,almond,,3,symbol_strawberry.png,symbol_strawberry.png,symbol_strawberry.png,symbol_almond.png,
41,1,1,1,reward,,reward_bg.png,Financier,Buttery almond cake with delicate golden exterior,patisserie_financier.png,almond,almond,almond,,,2,symbol_almond.png,symbol_almond.png,symbol_almond.png,,
42,1,1,1,reward,,reward_bg.png,Pistachio macaron,Earthy pistachio with sweet chocolate shell,patisserie_pistachio_macaron.png,almond,almond,Chocolate,,,2,symbol_almond.png,symbol_almond.png,symbol_Chocolate.png,,
43,1,1,1,reward,,reward_bg.png,Raspberry & pistachio tart,Nutty pistachio with tart berry and chocolate,patisserie_raspberry_&_pistachio_tart.png,almond,almond,Chocolate,strawberry,,5,symbol_almond.png,symbol_almond.png,symbol_Chocolate.png,symbol_strawberry.png,
44,1,1,1,reward,,reward_bg.png,Pistachio & blueberry religieuse,Pistachio cream with blueberry and chocolate,patisserie_pistachio_&_blueberry_religieuse.png,almond,almond,Chocolate,strawberry,,5,symbol_almond.png,symbol_almond.png,symbol_Chocolate.png,symbol_strawberry.png,
45,1,1,1,reward,,reward_bg.png,Bakewell tart,Almond frangipane with bright jam center,patisserie_bakewell_tart.png,almond,almond,almond,strawberry,,3,symbol_almond.png,symbol_almond.png,symbol_almond.png,symbol_strawberry.png,
46,1,1,1,reward,,reward_bg.png,Galette des Rois,"Almond frangipane in crispy, buttery pastry",patisserie_galette_des_rois.png,almond,almond,Caramel,,,2,symbol_almond.png,symbol_almond.png,symbol_Caramel.png,,
47,1,1,1,reward,,reward_bg.png,Mont Blanc,Chestnut cream with bright lemon and vanilla,patisserie_mont_blanc.png,almond,almond,lemon,,,2,symbol_almond.png,symbol_almond.png,symbol_lemon.png,,
48,1,1,1,reward,,reward_bg.png,Blueberry frangipane tart,Almond cream with tart blueberry and pastry,patisserie_blueberry_frangipane_tart.png,almond,almond,strawberry,strawberry,,4,symbol_almond.png,symbol_almond.png,symbol_strawberry.png,symbol_strawberry.png,
49,1,1,1,reward,,reward_bg.png,Fig & almond tart,Nutty almond with jammy fig and dark chocolate,patisserie_fig_&_almond_tart.png,almond,almond,Chocolate,strawberry,,5,symbol_almond.png,symbol_almond.png,symbol_Chocolate.png,symbol_strawberry.png,
50,1,1,1,reward,,reward_bg.png,Battenberg,Almond cake with apricot jam bringing sweetness,patisserie_battenberg.png,almond,almond,strawberry,,,2,symbol_almond.png,symbol_almond.png,symbol_strawberry.png,,
51,1,1,1,reward,,reward_bg.png,Ultimate Dark Chocolate Torte,Five layers of intense dark chocolate luxury,patisserie_ultimate_dark_chocolate_torte.png,Chocolate,Chocolate,Chocolate,Chocolate,Chocolate,4,symbol_Chocolate.png,symbol_Chocolate.png,symbol_Chocolate.png,symbol_Chocolate.png,symbol_Chocolate.png
52,1,1,1,reward,,reward_bg.png,Citrus & Almond Celebration,Citrus brightness with rich almond foundation,patisserie_citrus_&_almond_celebration.png,lemon,lemon,lemon,almond,almond,5,symbol_lemon.png,symbol_lemon.png,symbol_lemon.png,symbol_almond.png,symbol_almond.png
53,1,1,1,reward,,reward_bg.png,Salted Caramel-Chocolate Dream,Caramel and chocolate with candied fruit accent,patisserie_salted_caramel-chocolate_dream.png,Caramel,Caramel,Chocolate,Chocolate,strawberry,6,symbol_Caramel.png,symbol_Caramel.png,symbol_Chocolate.png,symbol_Chocolate.png,symbol_strawberry.png
54,1,1,1,reward,,reward_bg.png,The Five Treasures,One bite of each precious flavor in harmony,patisserie_the_five_treasures.png,lemon,Chocolate,Caramel,strawberry,almond,8,symbol_lemon.png,symbol_Chocolate.png,symbol_Caramel.png,symbol_strawberry.png,symbol_almond.png
